Sum of runs_scored,Column Labels,,,,,,
Row Labels,1,2,Grand Total,,,,
335982,205,63,268,,,,1Won
335983,234,196,430,,,,1Won
335984,122,122,244,,,,1Won
335985,154,161,315,,,,2Won
335986,100,84,184,,,,1Won
335987,162,156,318,,,,2Won
335988,137,131,268,,,,1Won
335989,190,189,379,,,,2Won
335990,208,210,418,,,,2Won
335991,175,109,284,,,,1Won
335992,129,135,264,,,,1Won
335993,139,134,273,,,,2Won
335994,143,146,289,,,,2Won
335995,147,153,300,,,,2Won
335996,174,158,332,,,,2Won
335997,124,123,247,,,,1Won
335998,187,169,356,,,,2Won
335999,160,161,321,,,,1Won
336000,182,139,321,,,,1Won
336001,162,166,328,,,,1Won
336002,152,168,320,,,,2Won
336003,164,162,326,,,,2Won
336004,152,129,281,,,,1Won
336005,102,89,191,,,,1Won
336006,116,110,226,,,,2Won
336007,134,143,277,,,,2Won
336008,96,92,188,,,,1Won
336009,175,177,352,,,,2Won
336010,124,118,242,,,,1Won
336011,134,130,264,,,,2Won
336012,111,113,224,,,,1Won
336013,166,160,326,,,,2Won
336014,199,165,364,,,,1Won
336015,145,142,287,,,,1Won
336016,128,135,263,,,,1Won
336017,122,102,224,,,,1Won
336018,144,142,286,,,,2Won
336019,216,176,392,,,,2Won
336020,186,179,365,,,,1Won
336021,59,58,117,,,,1Won
336022,108,90,198,,,,2Won
336023,171,126,297,,,,2Won
336024,158,145,303,,,,1Won
336025,136,51,187,,,,1Won
336026,145,146,291,,,,2Won
336027,142,143,285,,,,1Won
336028,177,165,342,,,,2Won
336029,122,100,222,,,,1Won
336031,170,170,340,,,,2Won
336032,167,176,343,,,,2Won
336033,204,192,396,,,,2Won
336034,151,147,298,,,,1Won
336035,163,166,329,,,,2Won
336036,132,130,262,,,,1Won
336037,131,137,268,,,,2Won
336038,188,80,268,,,,1Won
336039,108,112,220,,,,1Won
336040,156,150,306,,,,2Won
392181,162,137,299,,,,1Won
392182,129,49,178,,,,1Won
392183,96,53,149,,,,1Won
392184,96,102,198,,,,2Won
392185,166,82,248,,,,1Won
392186,146,75,221,,,,1Won
392188,175,153,328,,,,2Won
392189,188,165,353,,,,1Won
392190,140,132,272,,,,1Won
392191,160,160,320,,,,2Won
392192,154,143,297,,,,1Won
392194,138,146,284,,,,1Won
392195,126,102,228,,,,1Won
392196,158,159,317,,,,2Won
392197,178,91,269,,,,1Won
392198,138,138,276,,,,1Won
392199,130,134,264,,,,1Won
392200,102,105,207,,,,1Won
392201,137,138,275,,,,2Won
392202,159,118,277,,,,1Won
392203,135,131,266,,,,1Won
392204,139,124,263,,,,1Won
392205,134,135,269,,,,1Won
392206,154,142,296,,,,2Won
392207,146,144,290,,,,1Won
392208,143,142,285,,,,1Won
392209,168,93,261,,,,1Won
392210,207,114,321,,,,1Won
392211,150,149,299,,,,1Won
392212,136,123,259,,,,1Won
392213,100,104,204,,,,1Won
392214,179,168,347,,,,2Won
392215,103,112,215,,,,1Won
392216,161,160,321,,,,2Won
392217,133,131,264,,,,1Won
392218,150,127,277,,,,1Won
392219,115,112,227,,,,1Won
392220,164,109,273,,,,1Won
392221,164,167,331,,,,2Won
392222,101,116,217,,,,1Won
392223,161,153,314,,,,2Won
392224,125,124,249,,,,1Won
392225,138,125,263,,,,2Won
392226,106,114,220,,,,1Won
392227,142,125,267,,,,2Won
392228,153,159,312,,,,2Won
392229,127,128,255,,,,1Won
392230,145,123,268,,,,1Won
392231,168,184,352,,,,2Won
